,abv,brewery_location,brewery_name,ibu,id,name,size,style
1323,6.0%,"Chandler, AZ",SanTan Brewing Company,N/A,1329,I.W.A. (2011),12 oz.,American Pale Wheat Ale
1324,8.0%,"Brevard, NC",Oskar Blues Brewery (North Carol...,85,1328,Deviant Dale's IPA,16 oz.,American Double / Imperial IPA
1325,7.0%,"Boonville, CA",Anderson Valley Brewing Company,80,1327,Hop Ottin' IPA,12 oz.,American IPA
1326,5.8%,"Boonville, CA",Anderson Valley Brewing Company,15,1326,Boont Amber Ale,12 oz.,American Amber / Red Ale
1327,5.3%,"Miami, FL",Miami Brewing Company,16,1325,Big Rod Coconut Ale,12 oz.,American Blonde Ale
1328,5.0%,"Saint Louis, MO",Schlafly Brewing Company,45,1324,Schlafly Yakima Wheat Ale,12 oz.,American Pale Wheat Ale
1329,5.0%,"Saint Louis, MO",Schlafly Brewing Company,N/A,1323,Schlafly Black Lager,12 oz.,Schwarzbier
1330,7.0%,"Boulder, CO",Asher Brewing Company,45,1322,Green Bullet Organic India Pale Ale,16 oz.,American IPA
1331,5.5%,"Lincoln, NE",Blue Blood Brewing Company,N/A,1321,Brewerhood Brown Ale,12 oz.,American Brown Ale
1332,8.0%,"Lincoln, NE",Blue Blood Brewing Company,N/A,1320,Last Call Imperial Amber Ale,12 oz.,American Amber / Red Ale
1333,9.6%,"Lincoln, NE",Blue Blood Brewing Company,N/A,1319,Pernicious Double IPA,12 oz.,American Double / Imperial IPA
1334,5.7%,"Nellysford, VA",Wild Wolf Brewing Company,20,1318,Wild Wolf Wee Heavy Scottish Style Ale,12 oz.,Scotch Ale / Wee Heavy
1335,5.3%,"South Deerfield, MA",Berkshire Brewing Company,20,1317,Steel Rail Extra Pale Ale,12 oz.,American Pale Ale (APA)
1336,8.2%,"Denver, CO",Wynkoop Brewing Company,N/A,1316,Colorojo Imperial Red Ale,12 oz.,American Strong Ale
1337,9.9%,"Boulder, CO",Upslope Brewing Company,90,1315,Upslope Imperial India Pale Ale,19.2 oz.,American Double / Imperial IPA
1338,5.4%,"Indianapolis, IN",Sun King Brewing Company,N/A,1314,Popcorn Pilsner,16 oz.,German Pilsener
1339,5.5%,"Boston, MA",Harpoon Brewery,30,1313,Harpoon Octoberfest,12 oz.,Märzen / Oktoberfest
1340,4.0%,"Mt. Pleasant, SC",Westbrook Brewing Company,5,1312,Westbrook Gose,12 oz.,Gose
1341,6.0%,"Portland, ME",D.L. Geary Brewing Company,N/A,1311,Geary's Summer Ale,12 oz.,Kölsch
1342,4.9%,"Boston, MA",Boston Beer Company,30,1310,Boston Lager,12 oz.,Vienna Lager
1343,6.2%,"Ashburn, VA",Lost Rhino Brewing Company,65,1309,Face Plant IPA,12 oz.,American IPA
1344,5.6%,"Ashburn, VA",Lost Rhino Brewing Company,55,1308,Rhino Chasers Pilsner,12 oz.,Czech Pilsener
1345,6.0%,"Slippery Rock, PA",North Country Brewing Company,N/A,1307,Paleo IPA,12 oz.,English India Pale Ale (IPA)
1346,6.1%,"Slippery Rock, PA",North Country Brewing Company,N/A,1306,Buck Snort Stout,12 oz.,American Stout
1347,5.5%,"Slippery Rock, PA",North Country Brewing Company,N/A,1305,Station 33 Firehouse Red,12 oz.,Irish Red Ale
1348,4.5%,"Slippery Rock, PA",North Country Brewing Company,N/A,1304,Slimy Pebble Pils,12 oz.,German Pilsener
1349,5.2%,"Lincoln, NE",Blue Blood Brewing Company,N/A,1303,6-4-3 Double Play Pilsner,12 oz.,German Pilsener
1350,7.4%,"Santa Cruz, CA",Seabright Brewery,60,1302,Blur India Pale Ale,12 oz.,American IPA
1351,4.5%,"Spearfish, SD",Crow Peak Brewing Company,N/A,1301,Easy Livin' Summer Ale,12 oz.,American Blonde Ale
1352,5.3%,"Asheville, NC",French Broad Brewery,32,1300,Gateway Kolsch Style Ale,12 oz.,Kölsch
1353,6.5%,"Chandler, AZ",SanTan Brewing Company,N/A,1299,Supermonk I.P.A.,12 oz.,Belgian IPA
1354,5.0%,"Boise, ID",Sockeye Brewing Company,N/A,1298,Sockeye Belgian Style Summer Ale,16 oz.,Witbier
1355,5.8%,"Durango, CO",Ska Brewing Company,15,1297,Estival Cream Stout,12 oz.,American Stout
1356,5.9%,"Los Angeles, CA",Golden Road Brewing,60,1296,Point the Way IPA,12 oz.,American IPA
1357,5.0%,"Chico, CA",Sierra Nevada Brewing Company,28,1295,Summerfest,12 oz.,Czech Pilsener
1358,5.0%,"Cincinnati, OH",Angry Orchard Cider Company,N/A,1294,Angry Orchard Apple Ginger,16 oz.,Cider
1359,5.0%,"Cincinnati, OH",Angry Orchard Cider Company,N/A,1293,Angry Orchard Crisp Apple,16 oz.,Cider
1360,5.0%,"Cincinnati, OH",Angry Orchard Cider Company,N/A,1292,Angry Orchard Crisp Apple,12 oz.,Cider
1361,8.6%,"Providence, RI",Narragansett Brewing Company,35,1291,Narragansett Bohemian Pilsner,16 oz.,German Pilsener
1362,5.9%,"Blanco, TX",Real Ale Brewing Company,N/A,1290,The Sword Iron Swan Ale,12 oz.,English Pale Ale
1363,7.0%,"Bozeman, MT",Bozeman Brewing Company,80,1289,Bozone HopZone IPA,12 oz.,American IPA
1364,6.0%,"Bozeman, MT",Bozeman Brewing Company,25,1288,Bozone Hefe Weizen,12 oz.,Hefeweizen
1365,5.5%,"Brooklyn, NY",Evil Twin Brewing,N/A,1287,Hipster Ale (Two Roads Brewing),12 oz.,American Pale Ale (APA)
1366,2.7%,"Brooklyn, NY",Evil Twin Brewing,N/A,1286,Bikini Beer,12 oz.,American IPA
1367,5.0%,"Stratford, CT",Two Roads Brewing Company,N/A,1285,No Limits Hefeweizen,16 oz.,Hefeweizen
1368,5.1%,"Warrenville, IL",Two Brothers Brewing Company,17,1284,Dog Days Lager,12 oz.,Dortmunder / Export Lager
1369,4.8%,"Medford, OR",Southern Oregon Brewing Company,32,1283,Na Zdraví Pilsner,16 oz.,Czech Pilsener
1370,5.5%,"Medford, OR",Southern Oregon Brewing Company,65,1282,Nice Rack IPA,16 oz.,American IPA
1371,5.3%,"Boston, MA",Boston Beer Company,15,1281,Samuel Adams Octoberfest,12 oz.,Märzen / Oktoberfest
1372,5.5%,"Rochester, MI",Rochester Mills Brewing Company,N/A,1280,Lazy Daze Lager,16 oz.,American Adjunct Lager
1373,6.8%,"Brooklyn, NY",Brooklyn Brewery,47,1279,East India Pale Ale,16 oz.,English India Pale Ale (IPA)
1374,5.8%,"Traverse City, MI",The Right Brain Brewery,N/A,1278,Northern Hawk Owl Amber,12 oz.,American Amber / Red Ale
1375,5.9%,"Traverse City, MI",The Right Brain Brewery,N/A,1277,CEO Stout,16 oz.,American Stout
1376,4.7%,"Traverse City, MI",The Right Brain Brewery,N/A,1276,Will Power Pale Ale,16 oz.,American Pale Ale (APA)
1377,4.8%,"Davenport, IA",Great River Brewery,N/A,1275,Dirty Blonde Chocolate Ale,12 oz.,American Blonde Ale
1378,4.6%,"Kona, HI",Kona Brewing Company,18,1274,Longboard Island Lager,24 oz.,American Amber / Red Lager
1379,4.8%,"Royal Oak, MI",MillKing It Productions,N/A,1273,SNO White Ale,16 oz.,Witbier
1380,5.1%,"Milwaukee, WI",Milwaukee Brewing Company,24,1272,Louie's Demise Amber Ale,16 oz.,American Amber / Red Ale
1381,5.0%,"Lahaina, HI",Maui Brewing Company,N/A,1271,Lemongrass Saison,12 oz.,Saison / Farmhouse Ale
1382,5.6%,"Richmond, VA",Hardywood Park Craft Brewery,55,1270,Capital Trail Pale Ale,12 oz.,American Pale Ale (APA)
1383,5.6%,"Aurora, IN",Great Crescent Brewery,33,1269,Great Crescent Coconut Porter,16 oz.,American Porter
1384,5.2%,"Fort Collins, CO",Pateros Creek Brewing Company,23,1268,Rustic Red,16 oz.,Irish Red Ale
1385,5.0%,"Grand Rapids, MI",Brewery Vivant,N/A,1267,Black Rabbit,16 oz.,American Black Ale
1386,9.0%,"Grand Rapids, MI",Brewery Vivant,N/A,1266,Zaison,16 oz.,Saison / Farmhouse Ale
1387,8.5%,"Portland, OR",Natian Brewery,86,1265,Old Grogham Imperial India Pale Ale,16 oz.,American Double / Imperial IPA
1388,5.5%,"O'Fallon, MO",O'Fallon Brewery,N/A,1264,O'Fallon Pumpkin Beer,12 oz.,Pumpkin Ale
1389,5.3%,"Washington, DC",DC Brau Brewing Company,11,1263,El Hefe Speaks,12 oz.,Hefeweizen
1390,4.7%,"Albuquerque, NM",Marble Brewery,N/A,1262,Marble Pilsner,12 oz.,German Pilsener
1391,6.0%,"Duluth, MN",Bent Paddle Brewing Company,34,1261,Bent Paddle Black Ale,12 oz.,American Black Ale
1392,7.0%,"Asheville, NC",French Broad Brewery,24,1260,Wee-Heavy-Er Scotch Ale,12 oz.,Scotch Ale / Wee Heavy
1393,5.2%,"Asheville, NC",French Broad Brewery,42,1259,13 Rebels ESB,12 oz.,Extra Special / Strong Bitter (ESB)
1394,6.1%,"O'Fallon, MO",O'Fallon Brewery,66,1258,5 Day IPA,12 oz.,American IPA
1395,5.3%,"Vadnais Heights, MN",Big Wood Brewery,43,1257,Jack Pine Savage,16 oz.,American Pale Ale (APA)
1396,9.9%,"Vadnais Heights, MN",Big Wood Brewery,85,1256,Forest Fire Imperial Smoked Rye,16 oz.,Rye Beer
1397,9.8%,"Vadnais Heights, MN",Big Wood Brewery,76,1255,Bad Axe Imperial IPA,16 oz.,American Double / Imperial IPA
1398,6.0%,"Stevens Point, WI",James Page Brewing Company,N/A,1254,JP's Ould Sod Irish Red IPA,12 oz.,American IPA
1399,5.0%,"Duluth, MN",Bent Paddle Brewing Company,38,1253,Venture Pils,12 oz.,German Pilsener
1400,6.5%,"Longmont, CO",Oskar Blues Brewery,65,1252,Dale's Pale Ale,12 oz.,American Pale Ale (APA)
1401,6.5%,"Lenoir, NC",Howard Brewing Company,N/A,1251,Trail Maker Pale Ale,12 oz.,American Pale Ale (APA)
1402,5.5%,"Lenoir, NC",Howard Brewing Company,N/A,1250,Action Man Lager,12 oz.,Vienna Lager
1403,5.6%,"Erie, PA",Lavery Brewing Company,70,1249,Duluchan India Pale Ale,12 oz.,American IPA
1404,5.0%,"Ashland, VA",Center of the Universe Brewing C...,40,1248,Main St. Virginia Ale,12 oz.,Altbier
1405,5.2%,"Ashland, VA",Center of the Universe Brewing C...,42,1247,Ray Ray’s Pale Ale,12 oz.,American Pale Ale (APA)
1406,4.9%,"Leominster, MA",Downeast Cider House,N/A,1246,Cranberry Blend,12 oz.,Cider
1407,6.5%,"Seattle, WA",Schilling & Company,N/A,1245,Schilling Hard Cider,12 oz.,Cider
1408,4.8%,"Davenport, IA",Great River Brewery,20,1244,Dos Pistolas,12 oz.,Vienna Lager
1409,5.2%,"Tampa, FL",Cigar City Brewing Company,N/A,1243,Tropical Heatwave,16 oz.,American Pale Wheat Ale
1410,7.3%,"Gainesville, FL",Swamp Head Brewery,50,1242,Big Nose,12 oz.,American IPA
1411,5.0%,"Gainesville, FL",Swamp Head Brewery,10,1241,Cotton Mouth,12 oz.,Witbier
1412,5.6%,"Gainesville, FL",Swamp Head Brewery,35,1240,Stump Knocker Pale Ale,12 oz.,American Pale Ale (APA)
1413,5.0%,"Gainesville, FL",Swamp Head Brewery,38,1239,Midnight Oil,12 oz.,Oatmeal Stout
1414,5.9%,"Gainesville, FL",Swamp Head Brewery,18,1238,Wild Night,12 oz.,Cream Ale
1415,3.7%,"Half Moon Bay, CA",Mavericks Beer Company,34,1237,Pit Stop Chocolate Porter,12 oz.,American Porter
1416,3.7%,"Half Moon Bay, CA",Mavericks Beer Company,21,1236,Pace Setter Belgian Style Wit,12 oz.,Witbier
1417,4.7%,"Houston, TX",Karbach Brewing Company,20,1235,Love Street Summer Seasonal (2014),12 oz.,Kölsch
1418,8.0%,"Fort Worth, TX",Martin House Brewing Company,N/A,1234,The Imperial Texan,12 oz.,American Double / Imperial IPA
1419,5.0%,"Fort Worth, TX",Martin House Brewing Company,N/A,1233,Day Break 4-Grain Breakfast Beer,16 oz.,Rye Beer
1420,5.0%,"Fort Worth, TX",Martin House Brewing Company,N/A,1232,River House Saison,12 oz.,Saison / Farmhouse Ale
1421,6.5%,"Fort Worth, TX",Martin House Brewing Company,N/A,1231,There Will Be Stout,12 oz.,American Stout
1422,8.0%,"San Diego, CA",TailGate Beer,95,1229,Dodgy Knight Imperial IPA,12 oz.,American Double / Imperial IPA
1423,4.8%,"Fuquay-Varina, NC",Aviator Brewing Company,23,1228,Mad Beach,12 oz.,American Pale Wheat Ale
1424,6.3%,"Pacific, WA",Northwest Brewing Company,N/A,1227,Hoppy Bitch IPA,16 oz.,American IPA
1425,6.3%,"Pacific, WA",Northwest Brewing Company,42,1226,Three Skulls Ale Pale Ale,16 oz.,American Pale Ale (APA)
1426,5.2%,"Stevens Point, WI",Stevens Point Brewery,7,1225,Point Nude Beach Summer Wheat,16 oz.,American Pale Wheat Ale
1427,6.5%,"Aurora, CO",Dad & Dude's Breweria,N/A,1224,Dank IPA,16 oz.,American IPA
1428,4.7%,"Grand Rapids, MI",Founders Brewing Company,42,1223,All Day IPA,12 oz.,American IPA
1429,6.5%,"Kearney, NE",Thunderhead Brewing Company,N/A,1222,Cropduster Mid-American IPA,12 oz.,American IPA
1430,5.7%,"Boonville, CA",Anderson Valley Brewing Company,13,1221,Barney Flats Oatmeal Stout,12 oz.,Oatmeal Stout
1431,4.6%,"Kona, HI",Kona Brewing Company,18,1220,Longboard Island Lager,16 oz.,American Amber / Red Lager
1432,5.0%,"Edwards, CO",Centennial Beer Company,N/A,1219,All American Blonde Ale,12 oz.,American Blonde Ale
1433,5.0%,"Edwards, CO",Centennial Beer Company,N/A,1218,All American Red Ale,12 oz.,American Amber / Red Ale
1434,5.5%,"Boonville, CA",Anderson Valley Brewing Company,25,1217,El Steinber Dark Lager,16 oz.,Vienna Lager
1435,5.8%,"Astoria, OR",Fort George Brewery,N/A,1214,Tender Loving Empire NWPA,16 oz.,American Pale Ale (APA)
1436,5.9%,"Talkeetna, AK",Denali Brewing Company,55,1213,Chuli Stout,12 oz.,Irish Dry Stout
1437,4.0%,"Salt Lake City, UT",Uinta Brewing Company,17,1212,SUM'R,12 oz.,American Blonde Ale
1438,6.2%,"Pottstown, PA",Sly Fox Brewing Company,N/A,1211,360° India Pale Ale,12 oz.,American IPA
1439,5.0%,"Bend, OR",Deschutes Brewery,40,1210,Mirror Pond Pale Ale,12 oz.,American Pale Ale (APA)
1440,4.7%,"Lewiston, ME",Baxter Brewing Company,N/A,1209,Summer Swelter,12 oz.,American Pale Wheat Ale
1441,5.5%,"Frankenmuth, MI",Frankenmuth Brewery,18,1208,Twisted Helles Summer Lager,12 oz.,Munich Helles Lager
1442,4.5%,"Hardy, VA",Sunken City Brewing Company,N/A,1207,Dam Lager,12 oz.,American Amber / Red Lager
1443,7.0%,"Hardy, VA",Sunken City Brewing Company,N/A,1206,Red Clay IPA,12 oz.,American IPA
1444,6.5%,"Crozet, VA",Starr Hill Brewery,52,1205,Northern Lights India Pale Ale,16 oz.,American IPA
1445,6.2%,"Menominie, WI",Lucette Brewing Company,N/A,1204,Hips Don't Lie,16 oz.,Hefeweizen
1446,7.0%,"Dallas, TX",Deep Ellum Brewing Company,N/A,1203,Double Brown Stout,12 oz.,Baltic Porter
1447,4.8%,"Dallas, TX",Deep Ellum Brewing Company,25,1202,Farmhouse Wit,16 oz.,Saison / Farmhouse Ale
1448,5.2%,"Lexington, VA",Devil's Backbone Brewing Company,26,1201,Striped Bass Pale Ale,12 oz.,American Pale Ale (APA)
1449,4.6%,"Sheridan, WY",The Black Tooth Brewing Company,20,1200,Bomber Mountain Amber Ale (2013),12 oz.,American Amber / Red Ale
1450,7.0%,"Sheridan, WY",The Black Tooth Brewing Company,75,1199,Indian Paintbrush IPA,12 oz.,American IPA
1451,4.8%,"Sheridan, WY",The Black Tooth Brewing Company,16,1198,Saddle Bronc Brown Ale (2013),12 oz.,English Brown Ale
1452,5.9%,"Sheridan, WY",The Black Tooth Brewing Company,15,1197,Wagon Box Wheat Beer,12 oz.,American Pale Wheat Ale
1453,5.6%,"Manhattan, KS",Tallgrass Brewing Company,20,1196,Wild Plum Farmhouse Ale,16 oz.,Saison / Farmhouse Ale
1454,4.5%,"Nellysford, VA",Wild Wolf Brewing Company,25,1195,Wild Wolf American Pilsner,12 oz.,American Pilsner
1455,5.1%,"Nellysford, VA",Wild Wolf Brewing Company,45,1194,Alpha Ale,12 oz.,American Pale Ale (APA)
1456,5.8%,"Soldotna, AK",Kenai River Brewing Company,N/A,1193,Skilak Scottish Ale,12 oz.,Scottish Ale
1457,5.8%,"Durango, CO",Ska Brewing Company,N/A,1192,Vernal Minthe Stout,12 oz.,American Stout
1458,6.8%,"Carlsbad, CA",Pizza Port Brewing Company,N/A,1191,Swami's India Pale Ale,16 oz.,American IPA
1459,4.0%,"Ipswich, MA",Notch Brewing Company,N/A,1190,Notch Session Pils,12 oz.,Czech Pilsener
1460,6.0%,"Stratford, CT",Two Roads Brewing Company,N/A,1189,Honeyspot Road White IPA,12 oz.,American White IPA
1461,6.0%,"Jacksonville, FL",Bold City Brewery,N/A,1188,Duke's Cold Nose Brown Ale,12 oz.,American Brown Ale
1462,5.0%,"Soldotna, AK",Kenai River Brewing Company,15,1187,Peninsula Brewers Reserve (PBR),12 oz.,American Blonde Ale
1463,4.0%,"Westerly, RI",Grey Sail Brewing of Rhode Island,20,1186,Hazy Day Belgian-Style Wit,16 oz.,Witbier
1464,5.5%,"Westerly, RI",Grey Sail Brewing of Rhode Island,N/A,1185,Bring Back the Beach Blonde Ale,16 oz.,American Blonde Ale
1465,4.9%,"Eagle, CO",Bonfire Brewing Company,N/A,1184,Dirtbag Dunkel,16 oz.,Munich Dunkel Lager
1466,5.3%,"Eagle, CO",Bonfire Brewing Company,45,1183,Kindler Pale Ale,12 oz.,American Pale Ale (APA)
1467,5.1%,"Seven Points, TX",Cedar Creek Brewery,36,1182,Elliott's Phoned Home Pale Ale,16 oz.,American Pale Ale (APA)
1468,6.4%,"Boise, ID",Sockeye Brewing Company,N/A,1181,Sockeye Maibock,12 oz.,Maibock / Helles Bock
1469,5.0%,"Denver, CO",River North Brewery,N/A,1180,River North White Ale,16 oz.,Witbier
1470,5.0%,"Denver, CO",River North Brewery,N/A,1179,River North Ale,16 oz.,American Amber / Red Ale
1471,8.2%,"Grand Rapids, MI",Brewery Vivant,N/A,1178,Vivant Tripel,16 oz.,Tripel
1472,6.2%,"Middleton, WI",Capital Brewery,70,1177,Mutiny IPA,12 oz.,American IPA
1473,7.0%,"Denver, CO",Renegade Brewing Company,100,1176,Redacted Rye IPA,16 oz.,American IPA
1474,8.0%,"Brevard, NC",Oskar Blues Brewery (North Carol...,35,1175,Old Chub,12 oz.,Scottish Ale
1475,4.0%,"Seattle, WA",Fremont Brewing Company,N/A,1174,77 Fremont Select Spring Session IPA,12 oz.,American IPA
1476,6.2%,"Seattle, WA",Two Beers Brewing Company,70,1173,Evolutionary IPA (2012),12 oz.,American IPA
1477,5.2%,"South San Francisco, CA",Armstrong Brewing Company,10,1172,Mo's Gose,16 oz.,Gose
1478,7.2%,"Stratford, CT",Two Roads Brewing Company,N/A,1171,Road 2 Ruin Double IPA,12 oz.,American Double / Imperial IPA
1479,4.8%,"Stratford, CT",Two Roads Brewing Company,N/A,1170,Workers Comp Saison,12 oz.,Saison / Farmhouse Ale
1480,5.0%,"Stratford, CT",Two Roads Brewing Company,N/A,1169,Ol' Factory Pils,12 oz.,German Pilsener
1481,6.0%,"Stillwater, MN",Lift Bridge Brewing Company,30,1168,Farm Girl Saison,16 oz.,Saison / Farmhouse Ale
1482,5.3%,"Longmont, CO",Oskar Blues Brewery,35,1167,Mama's Little Yella Pils,19.2 oz.,Czech Pilsener
1483,6.5%,"Brevard, NC",Oskar Blues Brewery (North Carol...,65,1166,Dale's Pale Ale,19.2 oz.,American Pale Ale (APA)
1484,5.5%,"Golden, CO",AC Golden Brewing Company,26,1165,Colorado Native,12 oz.,American Amber / Red Lager
1485,5.0%,"San Diego, CA",TailGate Beer,N/A,1164,TailGate Saison,12 oz.,Saison / Farmhouse Ale
1486,???,"Edwards, CO",Crazy Mountain Brewing Company,N/A,1163,WinterWonderGrass Festival Ale,12 oz.,American Amber / Red Ale
1487,5.0%,"Kent, WA",Airways Brewing Company,35,1162,Oatmeal PSA,16 oz.,American Pale Ale (APA)
1488,4.6%,"Dallas, TX",Deep Ellum Brewing Company,N/A,1161,Rye Pils Session Lager,12 oz.,German Pilsener
1489,9.9%,"Boise, ID",Sockeye Brewing Company,100,1160,Old Devil's Tooth,12 oz.,American Barleywine
1490,5.6%,"Talkeetna, AK",Denali Brewing Company,46,1159,Mother Ale,12 oz.,American Blonde Ale
1491,7.8%,"Alpine, TX",Big Bend Brewing Company,N/A,1158,La Frontera Premium IPA,12 oz.,American IPA
1492,4.7%,"Alpine, TX",Big Bend Brewing Company,N/A,1157,Tejas Lager,12 oz.,Czech Pilsener
1493,6.4%,"Alpine, TX",Big Bend Brewing Company,N/A,1156,Number 22 Porter,12 oz.,American Porter
1494,5.6%,"Alpine, TX",Big Bend Brewing Company,N/A,1155,Big Bend Hefeweizen,12 oz.,Hefeweizen
1495,6.0%,"Alpine, TX",Big Bend Brewing Company,N/A,1154,Terlingua Gold,12 oz.,American Blonde Ale
1496,5.3%,"Flagstaff, AZ",Lumberyard Brewing Company,20,1153,Lumberyard Pilsner,12 oz.,American Pilsner
1497,4.3%,"Boise, ID",Sockeye Brewing Company,N/A,1152,Galena Golden,12 oz.,American Blonde Ale
1498,5.2%,"Boise, ID",Sockeye Brewing Company,32,1151,Hell-Diver Pale Ale,12 oz.,American Pale Ale (APA)
1499,4.6%,"Boise, ID",Sockeye Brewing Company,12,1150,Woolybugger Wheat,12 oz.,American Pale Wheat Ale
1500,6.5%,"Lexington, KY",Alltech's Lexington Brewing Company,N/A,1149,Kentucky IPA,16 oz.,American IPA
1501,6.5%,"Papillion, NE",Nebraska Brewing Company,65,1148,Nebraska India Pale Ale,12 oz.,American IPA
1502,4.8%,"Papillion, NE",Nebraska Brewing Company,10,1147,EOS Hefeweizen,12 oz.,Hefeweizen
1503,4.8%,"Papillion, NE",Nebraska Brewing Company,15,1146,Brunette Nut Brown Ale,12 oz.,English Brown Ale
1504,5.7%,"Papillion, NE",Nebraska Brewing Company,29,1145,Cardinal Pale Ale,12 oz.,American Pale Ale (APA)
1505,5.3%,"Boston, MA",Boston Beer Company,7,1144,Samuel Adams Summer Ale,12 oz.,American Pale Wheat Ale
1506,4.9%,"Boston, MA",Boston Beer Company,30,1143,Boston Lager,12 oz.,Vienna Lager
1507,7.5%,"Tampa, FL",Cigar City Brewing Company,70,1142,Humidor Series India Pale Ale,12 oz.,American IPA
1508,7.5%,"Tampa, FL",Cigar City Brewing Company,70,1141,Jai Alai IPA Aged on White Oak,12 oz.,American IPA
1509,8.0%,"Tampa, FL",Cigar City Brewing Company,65,1140,José Martí American Porter,12 oz.,American Porter
1510,5.0%,"Tampa, FL",Cigar City Brewing Company,N/A,1139,Invasion Pale Ale,12 oz.,American Pale Ale (APA)
1511,5.5%,"Tampa, FL",Cigar City Brewing Company,25,1138,Maduro Brown Ale,12 oz.,English Brown Ale
1512,5.2%,"Kent, WA",Airways Brewing Company,33,1137,Pre Flight Pilsner,16 oz.,American Pilsner
1513,9.8%,"Grand Rapids, MI",Brewery Vivant,N/A,1136,Tart Side of the Moon,16 oz.,Belgian Dark Ale
1514,6.5%,"Utica, NY",Matt Brewing Company,60,1135,Our Legacy IPA,16 oz.,American IPA
1515,5.7%,"Chicago, IL",Half Acre Beer Company,N/A,1134,Pony Pilsner,16 oz.,German Pilsener
1516,6.8%,"Chicago, IL",Revolution Brewing Company,N/A,1133,A Little Crazy,12 oz.,Belgian Pale Ale
1517,7.0%,"Bloomfield, CT",Back East Brewing Company,N/A,1132,Misty Mountain IPA,12 oz.,American IPA
1518,5.0%,"Bloomfield, CT",Back East Brewing Company,N/A,1131,Back East Ale,12 oz.,American Amber / Red Ale
1519,5.1%,"Portland, OR",Occidental Brewing Company,N/A,1130,Occidental Dunkel,16 oz.,Dunkelweizen
1520,5.0%,"Portland, OR",Occidental Brewing Company,N/A,1129,Occidental Altbier,16 oz.,Altbier
1521,7.1%,"Indianapolis, IN",Sun King Brewing Company,27,1128,Ring of Dingle,16 oz.,Irish Dry Stout
1522,5.4%,"Indianapolis, IN",Sun King Brewing Company,23,1127,Bourbon Barrel Wee Mac,16 oz. Alumi-Tek®,Scottish Ale
1523,6.9%,"Cincinnati, OH",Madtree Brewing Company,70,1126,Psychopathy,12 oz.,American IPA
1524,7.0%,"Cincinnati, OH",Madtree Brewing Company,32,1125,Gnarly Brown,12 oz.,American Brown Ale
1525,6.0%,"Cincinnati, OH",Madtree Brewing Company,30,1124,Happy Amber,12 oz.,American Amber / Red Ale
1526,4.9%,"Pottstown, PA",Sly Fox Brewing Company,18,1123,Helles Golden Lager,12 oz.,Munich Helles Lager
1527,5.2%,"Menominie, WI",Lucette Brewing Company,N/A,1122,Ride Again Pale Ale,16 oz.,American Pale Ale (APA)
1528,5.1%,"Warrenville, IL",Two Brothers Brewing Company,36,1121,Sidekick Extra Pale Ale,12 oz.,American Pale Ale (APA)
1529,5.8%,"Hattiesburg, MS",Southern Prohibition Brewing Com...,40,1120,Hipster Breakfast,16 oz.,Oatmeal Stout
1530,5.0%,"Hattiesburg, MS",Southern Prohibition Brewing Com...,20,1118,Suzy B Dirty Blonde Ale,16 oz.,American Blonde Ale
1531,5.8%,"Hattiesburg, MS",Southern Prohibition Brewing Com...,60,1117,Devil's Harvest Extra Pale Ale,16 oz.,American Pale Ale (APA)
1532,4.5%,"Seattle, WA",Fremont Brewing Company,N/A,1116,Fremont Organic Pale Ale,12 oz.,American Pale Ale (APA)
1533,4.6%,"Minneapolis, MN",Indeed Brewing Company,27,1115,Shenanigans Summer Ale,12 oz.,American Pale Wheat Ale
1534,8.8%,"New Orleans, LA",New Orleans Lager & Ale Brewing ...,N/A,1114,MechaHopzilla,16 oz.,American Double / Imperial IPA
1535,5.5%,"South Burlington, VT",Magic Hat Brewing Company,13,1113,Elder Betty,12 oz.,Hefeweizen
1536,7.3%,"Brooklyn Center, MN",Surly Brewing Company,69,1112,Overrated! West Coast Style IPA,16 oz.,American IPA
1537,8.0%,"Waterbury, VT",The Alchemist,120,1111,Heady Topper,16 oz.,American Double / Imperial IPA
1538,6.0%,"Buena Vista, CO",Eddyline Brewery & Restaurant,N/A,1110,River Runners Pale Ale,16 oz.,American Pale Ale (APA)
1539,7.0%,"Bend, OR",Good Life Brewing Company,70,1109,Descender IPA,12 oz.,American IPA
1540,6.0%,"Bend, OR",Good Life Brewing Company,18,1108,Sweet As Pacific Ale,12 oz.,American Pale Wheat Ale
1541,7.0%,"Jacksonville Beach, FL",Engine 15 Brewing,N/A,1107,Nut Sack Imperial Brown Ale,12 oz.,American Brown Ale
1542,5.0%,"Jacksonville, FL",Green Room Brewing,30,1106,Pablo Beach Pale Ale,12 oz.,American Pale Ale (APA)
1543,5.5%,"Garden City, ID",Crooked Fence Brewing Company,N/A,1105,3 Picket Porter,12 oz.,American Porter
1544,5.6%,"Garden City, ID",Crooked Fence Brewing Company,N/A,1104,Rusty Nail Pale Ale,12 oz.,American Pale Ale (APA)
1545,5.3%,"Export, PA",Rivertowne Brewing Company,N/A,1103,Babbling Blonde,12 oz.,American Blonde Ale
1546,5.1%,"Export, PA",Rivertowne Brewing Company,N/A,1102,Maxwell's Scottish Ale,12 oz.,Scottish Ale
1547,6.1%,"Export, PA",Rivertowne Brewing Company,N/A,1101,Grateful White,12 oz.,Witbier
